,種類,位置 X,Y,Z,状態
木箱,7,280,0,-120,1
木箱,7,-200,0,-120,1
木箱,7,-160,0,-120,1
木箱,7,-280,0,-120,1
爆弾,8,-240,0,-120,1
爆弾,8,-200,40,-120,1
木箱,7,-160,40,-120,1
石 00,4,-120,40,-120,0
石 00,4,-120,40,-320,0
石 00,4,-80,40,-320,0
石 00,4,-160,40,-320,0
木箱,7,-120,0,-280,1
木箱,7,-120,0,-200,1
木箱,7,-120,0,-160,1
木箱,7,-120,0,-240,1
木箱,7,-120,40,-160,1
木箱,7,-120,40,-200,1
木箱,7,-120,40,-240,1
木箱,7,-120,40,-280,1
石 00,4,120,40,120,0
石 00,4,80,40,320,0
石 00,4,120,40,320,0
石 00,4,160,40,320,0
木箱,7,120,0,280,1
木箱,7,120,0,240,1
木箱,7,120,0,200,1
木箱,7,120,0,160,1
木箱,7,120,40,280,1
木箱,7,120,40,240,1
木箱,7,120,40,200,1
木箱,7,120,40,160,1
